Designator,Mid X,Mid Y,Rotation,Layer
J1_12,79.755644,-18.975,0.0,top
J1_11,40.152214,-45.225815,0.0,top
J1_10,79.755644,-45.225815,0.0,top
J1_9,20.350499,-71.47663,0.0,top
J1_8,59.953929,-18.975,0.0,top
J1_7,79.755644,-71.47663,0.0,top
J1_6,20.350499,-45.225815,0.0,top
J1_5,20.350499,-18.975,0.0,top
J1_4,59.953929,-71.47663,0.0,top
J1_3,40.152214,-18.975,0.0,top
J1_2,40.152214,-71.47663,0.0,top
J1,59.953929,-45.225815,0.0,top
J10_12,57.403929,-78.60163,0.0,top
J10_11,17.800499,-52.350815,0.0,top
J10_10,17.800499,-78.60163,0.0,top
J10_9,57.403929,-26.1,0.0,top
J10_8,17.800499,-26.1,0.0,top
J10_7,77.205644,-78.60163,0.0,top
J10_6,37.602214,-26.1,0.0,top
J10_5,37.602214,-52.350815,0.0,top
J10_4,77.205644,-26.1,0.0,top
J10_3,37.602214,-78.60163,0.0,top
J10_2,77.205644,-52.350815,0.0,top
J10,57.403929,-52.350815,0.0,top
J2_12,14.650499,-13.225,0.0,top
J2_11,54.253929,-39.475815,0.0,top
J2_10,14.650499,-39.475815,0.0,top
J2_9,14.650499,-65.72663,0.0,top
J2_8,74.055644,-39.475815,0.0,top
J2_7,74.055644,-13.225,0.0,top
J2_6,34.452214,-65.72663,0.0,top
J2_5,74.055644,-65.72663,0.0,top
J2_4,34.452214,-39.475815,0.0,top
J2_3,54.253929,-65.72663,0.0,top
J2_2,34.452214,-13.225,0.0,top
J2,54.253929,-13.225,0.0,top
J3_12,76.605644,-39.475815,0.0,top
J3_11,76.605644,-13.225,0.0,top
J3_10,37.002214,-39.475815,0.0,top
J3_9,76.605644,-65.72663,0.0,top
J3_8,37.002214,-65.72663,0.0,top
J3_7,37.002214,-13.225,0.0,top
J3_6,17.200499,-13.225,0.0,top
J3_5,56.803929,-65.72663,0.0,top
J3_4,17.200499,-39.475815,0.0,top
J3_3,56.803929,-13.225,0.0,top
J3_2,56.803929,-39.475815,0.0,top
J3,17.200499,-65.72663,0.0,top
J4_12,20.350499,-69.50163,0.0,top
J4_11,79.755644,-17.0,0.0,top
J4_10,79.755644,-43.250815,0.0,top
J4_9,40.152214,-69.50163,0.0,top
J4_8,20.350499,-17.0,0.0,top
J4_7,59.953929,-43.250815,0.0,top
J4_6,40.152214,-43.250815,0.0,top
J4_5,59.953929,-17.0,0.0,top
J4_4,20.350499,-43.250815,0.0,top
J4_3,40.152214,-17.0,0.0,top
J4_2,59.953929,-69.50163,0.0,top
J4,79.755644,-69.50163,0.0,top
J8_12,51.703929,-80.95163,0.0,top
J8_11,71.505644,-80.95163,0.0,top
J8_10,71.505644,-28.45,0.0,top
J8_9,12.100499,-54.700815,0.0,top
J8_8,12.100499,-80.95163,0.0,top
J8_7,31.902214,-54.700815,0.0,top
J8_6,12.100499,-28.45,0.0,top
J8_5,31.902214,-28.45,0.0,top
J8_4,31.902214,-80.95163,0.0,top
J8_3,51.703929,-54.700815,0.0,top
J8_2,71.505644,-54.700815,0.0,top
J8,51.703929,-28.45,0.0,top
J9_12,29.977214,-28.45,0.0,top
J9_11,49.778929,-28.45,0.0,top
J9_10,69.580644,-28.45,0.0,top
J9_9,49.778929,-54.700815,0.0,top
J9_8,69.580644,-54.700815,0.0,top
J9_7,10.175499,-28.45,0.0,top
J9_6,10.175499,-54.700815,0.0,top
J9_5,49.778929,-80.95163,0.0,top
J9_4,29.977214,-54.700815,0.0,top
J9_3,10.175499,-80.95163,0.0,top
J9_2,69.580644,-80.95163,0.0,top
J9,29.977214,-80.95163,0.0,top
SW1_12,70.845644,-34.680815,180.0,top
SW1_11,31.242214,-60.93163,180.0,top
SW1_10,70.845644,-8.43,180.0,top
SW1_9,51.043929,-8.43,180.0,top
SW1_8,11.440499,-8.43,180.0,top
SW1_7,31.242214,-34.680815,180.0,top
SW1_6,70.845644,-60.93163,180.0,top
SW1_5,51.043929,-60.93163,180.0,top
SW1_4,31.242214,-8.43,180.0,top
SW1_3,51.043929,-34.680815,180.0,top
SW1_2,11.440499,-60.93163,180.0,top
SW1,11.440499,-34.680815,180.0,top
SW2_12,58.628929,-8.93,180.0,top
SW2_11,38.827214,-8.93,180.0,top
SW2_10,78.430644,-35.180815,180.0,top
SW2_9,78.430644,-61.43163,180.0,top
SW2_8,19.025499,-8.93,180.0,top
SW2_7,38.827214,-35.180815,180.0,top
SW2_6,58.628929,-61.43163,180.0,top
SW2_5,38.827214,-61.43163,180.0,top
SW2_4,78.430644,-8.93,180.0,top
SW2_3,19.025499,-61.43163,180.0,top
SW2_2,19.025499,-35.180815,180.0,top
SW2,58.628929,-35.180815,180.0,top
